,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm15721.9,0.719577231,0.001299698,0.002,0.001,1,9,Gm15721
Gm4852.9,0.719577231,0.000937706,0.002,0.001,1,9,Gm4852
Gm7424.9,0.719677133,0.000309526,0.002,0.001,1,9,Gm7424
Cnot4.9,0.719701963,0.114615055,0.177,0.181,1,9,Cnot4
Bmerb1.9,0.71977704,0.000426406,0.002,0.001,1,9,Bmerb1
Ttc39a.9,0.71977704,0.000331893,0.002,0.001,1,9,Ttc39a
Gm37139.9,0.71977704,-0.001162618,0.002,0.001,1,9,Gm37139
Gnaq.9,0.719845924,0.086524766,0.205,0.21,1,9,Gnaq
Fam3b.9,0.719976868,-0.00097807,0.002,0.001,1,9,Fam3b
2310002L09Rik.9,0.719976868,-0.002983855,0.002,0.001,1,9,2310002L09Rik
Mlycd.9,0.720004556,0.024214896,0.028,0.026,1,9,Mlycd
Gm9517.9,0.720086325,0.006644932,0.008,0.01,1,9,Gm9517
Gm8616.9,0.720176715,-0.000675043,0.002,0.001,1,9,Gm8616
Gm34655.9,0.720176715,-0.001614027,0.002,0.001,1,9,Gm34655
Nuggc.9,0.720176715,-0.001756802,0.002,0.001,1,9,Nuggc
